Time,wind_speed,generator_speed,power,wind_direction,wind_direction_mean,yaw_position,yaw_speed,pitch1_angle,pitch2_angle,pitch3_angle,pitch1_speed,pitch2_speed,pitch3_speed,pitch1_moto_tmp,pitch2_moto_tmp,pitch3_moto_tmp,acc_x,acc_y,environment_tmp,int_tmp,pitch1_ng5_tmp,pitch2_ng5_tmp,pitch3_ng5_tmp,pitch1_ng5_DC,pitch2_ng5_DC,pitch3_ng5_DC
2015/12/30 15:15,-0.795342429,-1.186164042,-0.877126454,0.591029011,0.241604191,-0.952239274,-0.038963855,0.182222222,0.222222222,0.204444444,0,0,0,-1.369,-1.36,-1.35,0.100890334,0.061109469,0.022157968,0.014918413,1.167692308,1.090769231,0.875384615,0.68,0.2,0.64
2015/12/30 15:16,-0.828534125,-1.161420161,-0.874681472,0.700940392,0.734287327,-0.950944988,-0.011832074,0.182222222,0.222222222,0.204444444,0,0,0,-1.371444444,-1.366,-1.352222222,-0.399054874,-0.221253071,0.021807287,-0.002291349,1.155384615,1.122564103,0.857094017,-0.133333333,0.075555556,0.604444444
2015/12/30 15:17,-0.865413788,-1.169129541,-0.871121407,0.844587661,0.516442855,-0.949327131,0.013361723,0.182222222,0.222222222,0.204444444,0,0,0,-1.38,-1.369,-1.36,0.100890334,0.061109469,0.022157968,0.002011091,1.132692308,1.157307692,0.828846154,-0.415,0.215,0.11
2015/12/30 15:18,-0.871150625,-1.161789472,-0.872900463,0.886427836,0.871636296,-0.94900356,0.034679551,0.182222222,0.222222222,0.204444444,0,0,0,-1.38,-1.369,-1.36,-0.274068572,-0.080071801,-0.001512961,0.001533042,1.104786325,1.167692308,0.795384615,0.333333333,0.377777778,0.64
2015/12/30 15:19,-0.906800966,-1.164374654,-0.878467418,0.554391884,0.077376478,-0.950944988,-0.035087886,0.182222222,0.222222222,0.204444444,0,0,0,-1.386,-1.369,-1.369,-0.274068572,0.061109469,-0.004318404,-0.01397699,1.07982906,1.181367521,0.767350427,0.16,0.395555556,0.248888889
2015/12/30 15:20,-0.881394976,-1.166959835,-0.876235949,0.382715294,0.311826666,-0.950297845,0.00754777,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.373888889,-1.369,-0.024095968,0.061109469,-0.007825208,-0.020563442,1.045811966,1.184957265,0.738119658,-1.23E-17,0.102222222,-0.173333333
2015/12/30 15:21,-0.884775611,-1.162897407,-0.867363126,0.45486262,0.411953501,-0.950055167,0.013361723,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.37725,-1.369,0.100890334,0.061109469,-0.020252445,-0.023325502,1.006923077,1.167692308,0.704615385,0.125,0.055,-0.165
2015/12/30 15:22,-0.865413788,-1.159942914,-0.882466877,0.254964893,0.225842833,-0.951592131,-0.027335949,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.38,-1.369,-0.14908227,0.061109469,-0.026761951,-0.02906209,0.984615385,1.16,0.685470085,0.08,-0.035555556,0.888888889
2015/12/30 15:23,-0.907364405,-1.16165098,-0.907916235,0.778554515,0.854291767,-0.948599095,0.039524512,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.38,-1.369,-0.320938436,0.061109469,-0.022422281,-0.038384044,0.937307692,1.144230769,0.651153846,0.025,0.475,0.425
2015/12/30 15:24,-0.955564076,-1.16806777,-0.933866176,1.390715831,1.069075439,-0.951592131,-0.035087886,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.38,-1.369,-0.524041176,0.061109469,-0.01746892,-0.042872392,0.900683761,1.121196581,0.624615385,-0.24,-0.24,0.608888889
2015/12/30 15:25,-1.077932846,-1.166636688,-0.959231561,2.515701016,2.624911368,-0.950783202,-0.012801066,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.38,-1.369,0.100890334,0.061109469,-0.00940327,-0.061330393,0.856923077,1.098461538,0.599423077,0.125,-0.04,0.475
2015/12/30 15:26,-1.142830809,-1.163266719,-0.973915448,3.251536613,2.487879033,-0.95611687,-0.131987105,0.182222222,0.222222222,0.204444444,0,0,0,-1.389,-1.382,-1.369,-0.399054874,-0.080071801,0.018300483,-0.054558033,0.82034188,1.076752137,0.566666667,-0.413333333,0.333333333,0.942222222
2015/12/30 15:27,-1.122649438,-1.161235505,-0.953223585,1.774878167,0.424143926,-1.018443173,-0.662510326,0.182222222,0.222222222,0.204444444,0,0,0,-1.390375,-1.385625,-1.369,-0.320938436,-0.415377317,-0.005852631,-0.034081604,0.777884615,1.048076923,0.552307692,0.15,-0.17,0.77
2015/12/30 15:28,-1.130537588,-1.166959835,-0.952561565,-0.12464178,-0.474130294,-1.024024781,-0.050591761,0.182222222,0.222222222,0.204444444,0,0,0,-1.398777778,-1.385,-1.369,-0.024095968,-0.080071801,-0.020975724,-0.052220905,0.743418803,1.015726496,0.568205128,-0.364444444,-0.466666667,0.257777778
2015/12/30 15:29,-1.144469905,-1.161050849,-0.954563898,-0.494465764,-0.041818785,-1.024024781,0.026927614,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.370222222,0.100890334,-0.362434341,-0.024833208,-0.065818741,0.703247863,0.993162393,0.604786325,-0.075555556,-0.142222222,0.906666667
2015/12/30 15:30,-1.198969851,-1.167698459,-0.95700888,0.031497599,0.189676148,-1.025319066,-0.000204168,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.373888889,-0.14908227,-0.221253071,-0.020975724,-0.065818741,0.66991453,0.956410256,0.638290598,0.24,0.377777778,0.462222222
2015/12/30 15:31,-1.197791751,-1.149602188,-0.952971666,0.195261721,-0.081996173,-1.027179602,-0.02588246,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.370375,0.100890334,-0.09771946,-0.038005642,-0.071130396,0.631346154,0.924423077,0.699230769,0.36,0.43,0.475
2015/12/30 15:32,-1.146928549,-1.161050849,-0.947437258,-0.913778642,-0.906441804,-1.024671924,0.057935364,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.376333333,0.100890334,-0.080071801,-0.051835601,-0.082391105,0.596068376,0.89008547,0.755384615,0.022222222,-0.128888889,0.004444444
2015/12/30 15:33,-1.141550265,-1.165805737,-0.943715105,-0.915433067,-0.715739937,-1.026451566,-0.060766179,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,-0.039719256,0.061109469,-0.077259931,-0.097901137,0.556538462,0.851346154,0.818846154,-0.29,0.6,0.605
2015/12/30 15:34,-1.192413467,-1.154033927,-0.951889781,-1.202655675,-0.779084409,-1.026613352,-0.007956105,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,0.100890334,-0.080071801,-0.069895642,-0.090252354,0.552307692,0.816923077,0.88991453,0.32,0.462222222,0.204444444
2015/12/30 15:35,-1.134635328,-1.172868822,-0.951471868,-0.889537715,-0.700699803,-1.028635674,-0.004080136,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,0.100890334,0.061109469,-0.086531044,-0.097901137,0.564230769,0.781538462,0.956923077,0.56,0.25,0.67
2015/12/30 15:36,-1.219048779,-1.156988421,-0.956120979,-1.174458514,-0.997632513,-1.025966209,0.112198926,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,0.100890334,-0.080071801,-0.094092591,-0.104487589,0.606324786,0.753846154,1.016239316,-0.071111111,0.186666667,-0.053333333
2015/12/30 15:37,-1.198252747,-1.157080749,-0.95522722,-1.060447036,-0.829253372,-1.024995495,-0.030242925,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,-0.039719256,-0.09771946,-0.092646034,-0.108418213,0.649230769,0.715961538,1.059615385,0.38,-0.01,0.325
2015/12/30 15:38,-1.198560077,-1.166959835,-0.948775618,-1.345176017,-1.077002204,-1.025319066,-0.007956105,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,-0.024095968,-0.221253071,-0.105314364,-0.118510358,0.717264957,0.69025641,1.084615385,-0.226666667,0.106666667,0.542222222
2015/12/30 15:39,-1.148567645,-1.164374654,-0.946546753,-1.750486224,-1.428958938,-1.024671924,-0.007956105,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,0.100890334,-0.221253071,-0.108996509,-0.114261034,0.778803419,0.655897436,1.090769231,0.164444444,1.12,-0.066666667
2015/12/30 15:40,-1.15307516,-1.166590524,-0.949660915,-2.046076866,-1.637234014,-1.021436209,0.104446989,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.382,0.100890334,0.061109469,-0.127757911,-0.122334749,0.845641026,0.624786325,1.101025641,0.102222222,0.542222222,0.36
2015/12/30 15:41,-1.136018315,-1.166636688,-0.970242767,-0.069518249,1.192457313,-0.972594679,0.532257038,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.389,-1.38,0.100890334,-0.09771946,-0.103297952,-0.105788944,0.920576923,0.595384615,1.098461538,0.28,0.235,0.85
2015/12/30 15:42,-1.067842161,-1.160312226,-0.9512206,1.540717052,1.443407671,-0.972274396,0.057935364,0.182222222,0.222222222,0.204444444,0,0,0,-1.4,-1.390222222,-1.387,-0.14908227,-0.080071801,-0.090235106,-0.128496269,0.990940171,0.564786325,1.090769231,-0.075555556,0.062222222,-0.36
